dimension,seed,bundle_width,reference,spearman,nearest_neighbor_agreement,top3_neighbor_overlap
8192,23,30,response_difference,0.996978759765625,0.967741935483871,0.956989247311828
8192,23,30,oracle_codebook,0.9969754815101624,0.967741935483871,0.9462365591397851
8192,23,40,response_difference,0.9975603222846985,1.0,0.9247311827956991
8192,23,40,oracle_codebook,0.9977337121963501,1.0,0.924731182795699
8192,23,50,response_difference,0.9969882965087891,0.9032258064516129,0.967741935483871
8192,23,50,oracle_codebook,0.9971486926078796,0.9032258064516129,0.956989247311828
8192,37,5,response_difference,0.9930887222290039,0.7096774193548387,0.8602150537634409
8192,37,5,oracle_codebook,0.9938425421714783,0.8709677419354839,0.9139784946236561
8192,37,10,response_difference,0.997844398021698,0.967741935483871,0.860215053763441
8192,37,10,oracle_codebook,0.9974603056907654,1.0,0.9032258064516129
8192,37,20,response_difference,0.9974014163017273,0.8709677419354839,0.9784946236559139
8192,37,20,oracle_codebook,0.996559202671051,0.8709677419354839,0.9784946236559139
8192,37,30,response_difference,0.9982434511184692,0.967741935483871,0.913978494623656
8192,37,30,oracle_codebook,0.9978848099708557,0.967741935483871,0.956989247311828
8192,37,40,response_difference,0.9973310828208923,0.967741935483871,0.956989247311828
8192,37,40,oracle_codebook,0.9971813559532166,0.967741935483871,0.924731182795699
8192,37,50,response_difference,0.996648907661438,1.0,0.956989247311828
8192,37,50,oracle_codebook,0.9968497157096863,0.967741935483871,0.946236559139785
8192,53,5,response_difference,0.9930887222290039,0.6774193548387096,0.827956989247312
8192,53,5,oracle_codebook,0.9866623878479004,0.7419354838709677,0.913978494623656
8192,53,10,response_difference,0.997794508934021,0.967741935483871,0.8924731182795701
8192,53,10,oracle_codebook,0.9965345859527588,1.0,0.9139784946236561
8192,53,20,response_difference,0.9978646636009216,0.9032258064516129,0.9784946236559139
8192,53,20,oracle_codebook,0.9976815581321716,0.9354838709677419,0.9784946236559139
8192,53,30,response_difference,0.9978441596031189,1.0,0.9677419354838711
8192,53,30,oracle_codebook,0.9979704022407532,0.967741935483871,0.9784946236559141
8192,53,40,response_difference,0.9974042177200317,0.967741935483871,0.956989247311828
8192,53,40,oracle_codebook,0.9977534413337708,0.967741935483871,0.967741935483871
8192,53,50,response_difference,0.99751877784729,0.9354838709677419,0.989247311827957
8192,53,50,oracle_codebook,0.9978381991386414,0.9354838709677419,1.0
8192,71,5,response_difference,0.9930887222290039,0.7741935483870968,0.881720430107527
8192,71,5,oracle_codebook,0.9946253895759583,0.8387096774193549,0.860215053763441
8192,71,10,response_difference,0.9976919889450073,0.967741935483871,0.881720430107527
8192,71,10,oracle_codebook,0.9985203146934509,0.9354838709677419,0.946236559139785
8192,71,20,response_difference,0.9975804686546326,0.9354838709677419,1.0
8192,71,20,oracle_codebook,0.9979104399681091,0.9354838709677419,0.9784946236559139
8192,71,30,response_difference,0.9977700710296631,0.967741935483871,0.9784946236559141
8192,71,30,oracle_codebook,0.9979999661445618,1.0,0.956989247311828
8192,71,40,response_difference,0.9977612495422363,1.0,0.946236559139785
8192,71,40,oracle_codebook,0.9974838495254517,1.0,0.946236559139785
8192,71,50,response_difference,0.9977476596832275,0.9354838709677419,0.9354838709677421
8192,71,50,oracle_codebook,0.9978419542312622,0.9354838709677419,0.9354838709677421
