dimension,seed,mean_absolute_question_cosine,max_absolute_question_cosine,level_1_2_cosine,level_1_3_cosine,level_1_4_cosine,level_1_5_cosine,level_2_3_cosine,level_2_4_cosine,level_2_5_cosine,level_3_4_cosine,level_3_5_cosine,level_4_5_cosine
512,11,0.034426022320985794,0.1445312649011612,0.7812500596046448,0.5117188096046448,0.2500000298023224,0.0429687537252903,0.7304688096046448,0.4687500298023224,0.2617187798023224,0.7382813096046448,0.5312500596046448,0.7929688096046448
512,23,0.0353093147277832,0.1406250149011612,0.6914063096046448,0.4765625298023224,0.2617187798023224,-0.003906250465661287,0.7851563096046448,0.5703125596046448,0.3046875298023224,0.7851563096046448,0.5195313096046448,0.7343750596046448
512,37,0.03609056398272514,0.1757812649011612,0.7578125596046448,0.5312500596046448,0.2812500298023224,-0.01953125186264515,0.7734375596046448,0.5234375596046448,0.2226562649011612,0.7500000596046448,0.4492187798023224,0.6992188096046448
512,53,0.03527742624282837,0.1718750149011612,0.6757813096046448,0.4218750298023224,0.1875000149011612,-0.02734375186264515,0.7460938096046448,0.5117188096046448,0.2968750298023224,0.7656250596046448,0.5507813096046448,0.7851563096046448
512,71,0.03557398170232773,0.1328125149011612,0.7343750596046448,0.4882812798023224,0.1835937649011612,-0.0585937537252903,0.7539063096046448,0.4492187798023224,0.2070312649011612,0.6953125596046448,0.4531250298023224,0.7578125596046448
2048,11,0.017248088493943214,0.0966796949505806,0.7597656846046448,0.5166016221046448,0.2470703274011612,0.01757812686264515,0.7568359971046448,0.4873047173023224,0.2578125298023224,0.7304688096046448,0.5009766221046448,0.7705078721046448
2048,23,0.017739957198500633,0.0771484449505806,0.7587891221046448,0.4960937798023224,0.2412109524011612,-0.01660156436264515,0.7373047471046448,0.4824219048023224,0.2246093899011612,0.7451172471046448,0.4873047173023224,0.7421875596046448
2048,37,0.017379624769091606,0.0869140699505806,0.7236328721046448,0.4951172173023224,0.2529297173023224,-0.009765625931322575,0.7714844346046448,0.5292969346046448,0.2666015923023224,0.7578125596046448,0.4951172173023224,0.7373047471046448
2048,53,0.017928095534443855,0.0654296949505806,0.7705078721046448,0.5058594346046448,0.2646484673023224,0.0351562537252903,0.7353516221046448,0.4941406548023224,0.2646484673023224,0.7587891221046448,0.5292969346046448,0.7705078721046448
2048,71,0.018190370872616768,0.0683593824505806,0.7294922471046448,0.4804687798023224,0.2333984524011612,-0.013671875931322575,0.7509766221046448,0.5039063096046448,0.2568359673023224,0.7529297471046448,0.5058594346046448,0.7529297471046448
4096,11,0.012665019370615482,0.0546875,0.72802734375,0.4873046875,0.2509765625,0.0107421875,0.75927734375,0.52294921875,0.28271484375,0.763671875,0.5234375,0.759765625
4096,23,0.012213010340929031,0.05126953125,0.74658203125,0.47802734375,0.2392578125,-0.0126953125,0.7314453125,0.49267578125,0.24072265625,0.76123046875,0.50927734375,0.748046875
4096,37,0.013010203838348389,0.05078125,0.75634765625,0.51123046875,0.25,0.0166015625,0.7548828125,0.49365234375,0.26025390625,0.73876953125,0.50537109375,0.7666015625
4096,53,0.01264429185539484,0.05615234375,0.74169921875,0.49853515625,0.25146484375,0.00732421875,0.7568359375,0.509765625,0.265625,0.7529296875,0.5087890625,0.755859375
4096,71,0.012921316549181938,0.04736328125,0.755859375,0.49755859375,0.263671875,0.0126953125,0.74169921875,0.5078125,0.2568359375,0.76611328125,0.51513671875,0.7490234375
8192,11,0.009018057025969028,0.0363769568502903,0.7385254502296448,0.4956054985523224,0.2465820461511612,-0.006347656715661287,0.7570801377296448,0.5080567002296448,0.2551269829273224,0.7509766221046448,0.4980469048023224,0.7470703721046448
8192,23,0.008812978863716125,0.0402832068502903,0.7463379502296448,0.5019531846046448,0.2561035454273224,-0.005371094215661287,0.7556152939796448,0.5097656846046448,0.2482910305261612,0.7541504502296448,0.4926758110523224,0.7385254502296448
8192,37,0.009005501866340637,0.0427246131002903,0.7370606064796448,0.4863281548023224,0.2443847805261612,-0.005859375465661287,0.7492676377296448,0.5073242783546448,0.2570801079273224,0.7580567002296448,0.5078125596046448,0.7497559189796448
8192,53,0.009069675579667091,0.0351562537252903,0.7392578721046448,0.4814453423023224,0.2248535305261612,-0.02343750186264515,0.7421875596046448,0.4855957329273224,0.2373047024011612,0.7434082627296448,0.4951172173023224,0.7517090439796448
8192,71,0.009090202860534191,0.0356445349752903,0.7504883408546448,0.5053711533546448,0.2495117336511612,-0.013916016556322575,0.7548828721046448,0.4990234673023224,0.2355957180261612,0.7441406846046448,0.4807129204273224,0.7365723252296448
