dimension,seed,bundle_width,exact_accuracy,mean_absolute_error,within_one,mean_winner_margin,queries
2048,37,30,0.9946236559139785,0.005376344086021506,1.0,0.04128423696884545,930
2048,37,40,0.9887096774193549,0.012096774193548387,0.9991935483870967,0.03431972196746257,1240
2048,37,50,0.9774193548387097,0.023225806451612905,0.9993548387096775,0.030121131397543414,1550
2048,53,5,1.0,0.0,1.0,0.09962586549020583,155
2048,53,10,1.0,0.0,1.0,0.07000323644568843,310
2048,53,20,1.0,0.0,1.0,0.04927075236074386,620
2048,53,30,0.9989247311827957,0.001075268817204301,1.0,0.039543287103535024,930
2048,53,40,0.989516129032258,0.010483870967741936,1.0,0.033041449011333525,1240
2048,53,50,0.9767741935483871,0.025806451612903226,0.9974193548387097,0.02976288276333963,1550
2048,71,5,1.0,0.0,1.0,0.10938892518320391,155
2048,71,10,1.0,0.0,1.0,0.07472677423108008,310
2048,71,20,1.0,0.0,1.0,0.05137541441907806,620
2048,71,30,0.9989247311827957,0.001075268817204301,1.0,0.040950126088755104,930
2048,71,40,0.9919354838709677,0.008064516129032258,1.0,0.03465030855469165,1240
2048,71,50,0.9838709677419355,0.016774193548387096,0.9993548387096775,0.031174505941810145,1550
4096,11,5,1.0,0.0,1.0,0.10760429539988117,155
4096,11,10,1.0,0.0,1.0,0.07710522821834011,310
4096,11,20,1.0,0.0,1.0,0.051995548173304526,620
4096,11,30,0.9989247311827957,0.001075268817204301,1.0,0.040832417049715596,930
4096,11,40,1.0,0.0,1.0,0.035401744010948366,1240
4096,11,50,0.9993548387096775,0.0006451612903225806,1.0,0.03163338524199301,1550
4096,23,5,1.0,0.0,1.0,0.10675126871755046,155
4096,23,10,1.0,0.0,1.0,0.07637113534635113,310
4096,23,20,1.0,0.0,1.0,0.0528111815692917,620
4096,23,30,1.0,0.0,1.0,0.04249547159960193,930
4096,23,40,1.0,0.0,1.0,0.03615929485569077,1240
4096,23,50,0.9993548387096775,0.0006451612903225806,1.0,0.031897250904190926,1550
4096,37,5,1.0,0.0,1.0,0.10479126880245825,155
4096,37,10,1.0,0.0,1.0,0.07219483722602167,310
4096,37,20,1.0,0.0,1.0,0.050773670716631795,620
4096,37,30,1.0,0.0,1.0,0.04128087666887109,930
4096,37,40,1.0,0.0,1.0,0.03477580876600358,1240
4096,37,50,1.0,0.0,1.0,0.03100618312195424,1550
4096,53,5,1.0,0.0,1.0,0.10720599197572278,155
4096,53,10,1.0,0.0,1.0,0.07548357411738366,310
4096,53,20,1.0,0.0,1.0,0.052204587070211285,620
4096,53,30,1.0,0.0,1.0,0.04216662263998421,930
4096,53,40,1.0,0.0,1.0,0.035907708072373944,1240
4096,53,50,1.0,0.0,1.0,0.03175074949860573,1550
4096,71,5,1.0,0.0,1.0,0.10556692519495564,155
4096,71,10,1.0,0.0,1.0,0.0735586462963012,310
4096,71,20,1.0,0.0,1.0,0.051476307693989046,620
4096,71,30,1.0,0.0,1.0,0.0413323437975299,930
4096,71,40,1.0,0.0,1.0,0.035185454052782825,1240
4096,71,50,0.9987096774193548,0.0012903225806451613,1.0,0.03152612826997234,1550
8192,11,5,1.0,0.0,1.0,0.11145976416526303,155
8192,11,10,1.0,0.0,1.0,0.07833989156830695,310
8192,11,20,1.0,0.0,1.0,0.054414506280614484,620
8192,11,30,1.0,0.0,1.0,0.04411974461168371,930
8192,11,40,1.0,0.0,1.0,0.03769580647950211,1240
8192,11,50,1.0,0.0,1.0,0.03362174365308977,1550
8192,23,5,1.0,0.0,1.0,0.11057838701432751,155
8192,23,10,1.0,0.0,1.0,0.07805183323160295,310
8192,23,20,1.0,0.0,1.0,0.05461918894321688,620
8192,23,30,1.0,0.0,1.0,0.044043413461536486,930
8192,23,40,1.0,0.0,1.0,0.0373230179952037,1240
8192,23,50,1.0,0.0,1.0,0.03330492163858106,1550
8192,37,5,1.0,0.0,1.0,0.11022656309989191,155
8192,37,10,1.0,0.0,1.0,0.0778289399800762,310
8192,37,20,1.0,0.0,1.0,0.05455334520628376,620
8192,37,30,1.0,0.0,1.0,0.04375495268132097,930
8192,37,40,1.0,0.0,1.0,0.037165464677156944,1240
8192,37,50,1.0,0.0,1.0,0.032840667001662716,1550
8192,53,5,1.0,0.0,1.0,0.11384646796411084,155
8192,53,10,1.0,0.0,1.0,0.07856456036529233,310
8192,53,20,1.0,0.0,1.0,0.054492836325399335,620
8192,53,30,1.0,0.0,1.0,0.044004169507052306,930
8192,53,40,1.0,0.0,1.0,0.03764282317772027,1240
8192,53,50,1.0,0.0,1.0,0.033577411573740744,1550
8192,71,5,1.0,0.0,1.0,0.1109430730342865,155
8192,71,10,1.0,0.0,1.0,0.07684987788238833,310
8192,71,20,1.0,0.0,1.0,0.05450652248917087,620
8192,71,30,1.0,0.0,1.0,0.04446340687973525,930
8192,71,40,1.0,0.0,1.0,0.03815299902231462,1240
8192,71,50,1.0,0.0,1.0,0.03402367420254215,1550
